user,repo,path,url
mayankd07,corona-virus-visualization,node_modules/data.js/test/fixtures/dp-with-inline-readme/datapackage.json,https://api.github.com/repositories/369804399/contents/node_modules/data.js/test/fixtures/dp-with-inline-readme/datapackage.json?ref=be6c45537585d97d034fa3192fa6193d9fab5cc4
amitrao99,weather-app,node_modules/data.js/test/fixtures/dp-with-inline-readme/datapackage.json,https://api.github.com/repositories/330354433/contents/node_modules/data.js/test/fixtures/dp-with-inline-readme/datapackage.json?ref=1792fabebbe6c13fc3afb6aab354bc33df7c7558
AdityaAgrawal-03,profit-loss,node_modules/data.js/test/fixtures/dp-with-inline-readme/datapackage.json,https://api.github.com/repositories/329332143/contents/node_modules/data.js/test/fixtures/dp-with-inline-readme/datapackage.json?ref=1aaf70c17ccc0cf38759dd7a4cce21c700e80527
Juanma-kalleja,portfolio,node_modules/data.js/test/fixtures/dp-with-inline-readme/datapackage.json,https://api.github.com/repositories/346603471/contents/node_modules/data.js/test/fixtures/dp-with-inline-readme/datapackage.json?ref=f7408e15ebba5e6ef3243f2c7ed7b380bf1d0715
datopian,mydataset,datapackage.json,https://api.github.com/repositories/267569409/contents/datapackage.json?ref=575f6612271e10bb8488ef21cac312a3f181bb7d
vdubya,Open-Built-Environment-Datasets,datapackages/MHS_RoomDataSheets/datapackage.json,https://api.github.com/repositories/196786272/contents/datapackages/MHS_RoomDataSheets/datapackage.json?ref=3a7e82c794316e8f0ce158946ea821c2fe794d1b
maxtcarry,worker-maxt,uts/node_modules/data.js/test/fixtures/dp-with-inline-readme/datapackage.json,https://api.github.com/repositories/119240653/contents/uts/node_modules/data.js/test/fixtures/dp-with-inline-readme/datapackage.json?ref=e480f215d121bc622ae808d774d0f3452a5be1a0
datopian,datahub-client,test/fixtures/invalid-dp/datapackage.json,https://api.github.com/repositories/111537965/contents/test/fixtures/invalid-dp/datapackage.json?ref=1d65873aa54279ab624eb7dbdbdb29bc15a9b875
datopian,datahub-client,test/fixtures/dp-no-resources/datapackage.json,https://api.github.com/repositories/111537965/contents/test/fixtures/dp-no-resources/datapackage.json?ref=1d65873aa54279ab624eb7dbdbdb29bc15a9b875
datopian,datahub-client,test/fixtures/valid_datapackage.json,https://api.github.com/repositories/111537965/contents/test/fixtures/valid_datapackage.json?ref=1d65873aa54279ab624eb7dbdbdb29bc15a9b875
datopian,core-datasets-tools,test/fixtures/invalid-dp/datapackage.json,https://api.github.com/repositories/97674013/contents/test/fixtures/invalid-dp/datapackage.json?ref=5e10ef584b069604da2c539d2148b49b5b798716
datopian,datahq-pm,qa-data/invalid-json/datapackage.json,https://api.github.com/repositories/96402672/contents/qa-data/invalid-json/datapackage.json?ref=2c88534f7a5c1d18984120718bdbf52f32d21803
okdistribute,protobufit,schemas/datapackage.json,https://api.github.com/repositories/41705769/contents/schemas/datapackage.json?ref=4d77ec0368a447ad39c23150d244b6da66e553ca
regro,cf-graph-countyfair,versions/datapackage.json,https://api.github.com/repositories/179765842/contents/versions/datapackage.json?ref=19dd85002c2f69431a71f6a903af2f8baac9671a
mikael1017,NFL-Fantasy,frontend/node_modules/frictionless.js/test/fixtures/dp-with-inline-readme/datapackage.json,https://api.github.com/repositories/330023061/contents/frontend/node_modules/frictionless.js/test/fixtures/dp-with-inline-readme/datapackage.json?ref=1db48cadcb93f0d2a7970843aaae0431331676b0
Stephen-Gates,data-quality-pattern,examples/data-and-measures-together/datapackage.json,https://api.github.com/repositories/118142975/contents/examples/data-and-measures-together/datapackage.json?ref=63422fe9e1fa966b5ff2dcf3b3a9b02969d8f08e
nice-registry,dependent-packages,dependents/datapackage-ckan.json,https://api.github.com/repositories/73249815/contents/dependents/datapackage-ckan.json?ref=d8f40fe4968d49a2e2c25e9ac3ef7389be95e14f
nice-registry,dependent-packages,dependents/datapackage-registry.json,https://api.github.com/repositories/73249815/contents/dependents/datapackage-registry.json?ref=d8f40fe4968d49a2e2c25e9ac3ef7389be95e14f
nice-registry,dependent-packages,dependents/datapackage.json,https://api.github.com/repositories/73249815/contents/dependents/datapackage.json?ref=d8f40fe4968d49a2e2c25e9ac3ef7389be95e14f
nice-registry,dependent-packages,dependents/datapackage-identifier.json,https://api.github.com/repositories/73249815/contents/dependents/datapackage-identifier.json?ref=d8f40fe4968d49a2e2c25e9ac3ef7389be95e14f
nice-registry,dependent-packages,dependents/datapackage-validate.json,https://api.github.com/repositories/73249815/contents/dependents/datapackage-validate.json?ref=d8f40fe4968d49a2e2c25e9ac3ef7389be95e14f
nice-registry,dependent-packages,dependents/datapackage-init.json,https://api.github.com/repositories/73249815/contents/dependents/datapackage-init.json?ref=d8f40fe4968d49a2e2c25e9ac3ef7389be95e14f
nice-registry,dependent-packages,dependents/datapackage-json.json,https://api.github.com/repositories/73249815/contents/dependents/datapackage-json.json?ref=d8f40fe4968d49a2e2c25e9ac3ef7389be95e14f
